Img-Name,Img-Text,Img-Label,Img-Text-Label,Text-Label,Sentiment,Emotion,Sarcasm,Harmful-Score,Target,Doubtful,image_path,bully_label,sentiment_label,text_bully_label,text_only_label,sarcasm_binary,img_quality,label_check
2209.jpg,boys waiting for girlfriend to say sorry for her mistake,Nonbully,Nonbully,Nonbully,Negative,Sadness,Yes,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/2209.jpg,0,0,0,0,1,ok,consistent
4812.jpg,HOD Sir Bsdk..syllabus kab complete hoga?HOD Sir you deleted this message Main Maut ko chhuke takk se waapas aa skta hai.,Nonbully,Bully,Bully,Negative,Surprise,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/4812.jpg,0,0,1,1,1,ok,consistent
4371.jpg,assignmets expectations student work,Nonbully,Nonbully,Nonbully,Neutral,Surprise,Yes,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/4371.jpg,0,1,0,0,1,ok,consistent
4921.jpg,days left for exams syllabus left SCOOPWHOOP.com,Nonbully,Nonbully,Nonbully,Negative,Fear,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/4921.jpg,0,0,0,0,0,ok,consistent
4303.jpg,why pakistan should be on every solo female traveler's bucket list did human trafficking write this?,Nonbully,Bully,Bully,Negative,Surprise,Yes,Partially-Harmful,Community,,/content/drive/MyDrive/Multimodal/bully_data/4303.jpg,0,0,1,1,1,ok,consistent
4807.jpg,*me talking to my crush* my social skills: theek hai bhai main chalta hoon SCOOPWHOOP.com,Nonbully,Nonbully,Nonbully,Neutral,Sadness,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/4807.jpg,0,1,0,0,0,ok,consistent
4197.jpg,each boy has that one girl he will never lose feelings for her.,Nonbully,Nonbully,Nonbully,Positive,Happiness,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/4197.jpg,0,2,0,0,0,ok,consistent
391.jpg,"world's first space hotel scheduled to open in 2027 space tourism is becoming an increasingly hot topic,and there are several companies trying to make it happen-from virgin galactic to elon musk's spaceX",Nonbully,Nonbully,Nonbully,Neutral,Surprise,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/391.jpg,0,1,0,0,0,ok,consistent
250.png,what does your wife and a hand grenade have in common text the ring and your house is gone,Nonbully,Bully,Bully,Negative,Disgust,No,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/250.png,0,0,1,1,0,ok,consistent
5488.jpg,sirAKASHtic @Dev_Akash_ .8h Girls Boys ,Nonbully,Bully,Nonbully,Negative,Ridicule,No,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/5488.jpg,0,0,1,0,0,ok,consistent
